"","year","name","cluster","avgScore"
"1","2003","Dinosaur Planet",1,3.75
"2","2004","Isle of Man TT 2004 Review",2,3.556
"3","1997","Character",3,3.641
"4","1994","Paula Abdul's Get Up & Dance",4,2.738
"5","2004","The Rise and Fall of ECW",5,3.918
"6","1997","Sick",6,3.086
"7","1992","8 Man",7,2.13
"8","2004","What the #$*! Do We Know!?",8,3.19
"9","1991","Class of Nuke 'Em High 2",9,2.628
"10","2001","Fighter",10,3.185
"11","1999","Full Frame: Documentary Shorts",11,3.02
"12","1947","My Favorite Brunette",12,3.417
"13","2003","Lord of the Rings: The Return of the King: Extended Edition: Bonus Material",13,4.548
"14","1982","Nature: Antarctica",14,3.026
"15","1988","Neil Diamond: Greatest Hits Live",15,3.28
"16","1996","Screamers",16,3.099
"17","2005","7 Seconds",17,2.903
"18","1994","Immortal Beloved",18,3.784
"19","2000","By Dawn's Early Light",19,3.325
"20","1972","Seeta Aur Geeta",20,3.157
"21","2002","Strange Relations",21,3.461
"22","2000","Chump Change",22,2.252
"23","2001","Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo",23,3.554
"24","1981","My Bloody Valentine",12,2.993
"25","1997","Inspector Morse 31: Death Is Now My Neighbour",24,3.969
"26","2004","Never Die Alone",25,2.794
"27","1962","Sesame Street: Elmo's World: The Street We Live On",26,3.526
"28","2002","Lilo and Stitch",27,3.823
"29","2001","Boycott",28,3.598
"30","2003","Something's Gotta Give",29,3.762
"31","1999","Classic Albums: Meat Loaf: Bat Out of Hell",30,3.059
"32","2004","ABC Primetime: Mel Gibson's The Passion of the Christ",31,4.072
"33","2000","Aqua Teen Hunger Force: Vol. 1",32,4.169
"34","2003","Ashtanga Yoga: Beginner's Practice with Nicki Doane",33,2.701
"35","2000","Ferngully 2: The Magical Rescue",34,3.147
"36","1992","Lady Chatterley",35,3.02
"37","1973","Zatoichi's Conspiracy",36,3.993
"38","2003","Daydream Obsession",37,2.047
"39","2000","Love Reinvented",38,2.435
"40","2004","Pitcher and the Pin-Up",39,2.918
"41","2000","Horror Vision",40,1.63
"42","2002","Searching for Paradise",41,2.323
"43","2000","Silent Service",42,2.558
"44","1996","Spitfire Grill",43,3.684
"45","1999","The Love Letter",44,2.969
"46","1964","Rudolph the Red-Nosed Reindeer",45,3.806
"47","1952","The Bad and the Beautiful",46,3.266
"48","2001","Justice League",47,3.711
"49","2003","Devo: The Complete Truth About De-evolution",48,3.661
"50","1941","A Yank in the R.A.F.",49,3.028
"51","2002","Jonah: A VeggieTales Movie: Bonus Material",50,3.573
