"","movie_year","movie_cluster","movie_avgScore"
"58853","1999",699,3.560209
"48173","1981",269,3.210245
"20653","2003",73,3.192876
"17338","2003",245,3.507945
"97529","2004",377,3.373453
"41747","2002",717,3.175086
"84145","1996",177,3.865526
"50522","1996",420,3.952594
"46272","2005",417,3.510857
"32672","1985",563,3.392009
"10314","2003",357,3.54584
"64773","1984",569,3.541215
"57838","2002",344,3.800375
"82636","1961",703,3.189944
"43862","2004",555,3.557411
"18320","1998",580,3.52642
"52366","1995",668,3.338985
"88974","1983",182,3.718461
"60887","2002",777,3.78504
"91852","2003",72,3.140178
"11567","2003",365,3.694041
"39127","2000",641,3.701054
"66033","2004",647,3.531949
"41806","2000",177,3.253648
"11800","1999",897,3.54086
"68642","1993",444,3.944707
"91922","1990",584,3.943568
"68281","2004",379,4.309204
"82408","1960",783,3.877398
"71791","1999",393,3.962955
"29305","2003",29,3.388183
"24187","2000",147,3.891397
"21565","1988",101,3.473286
"64647","1968",375,3.827408
"27183","1993",38,3.759085
"89255","1993",52,3.874329
"81305","1986",24,3.827354
"58420","1993",528,3.710278
"51004","1999",110,3.552198
"72001","2003",284,3.512085
"90003","1997",720,3.166142
"97351","1993",251,3.777071
"21421","1998",21,3.522611
"18563","1999",745,3.450003
"63015","1941",464,4.033116
"59174","1988",638,3.819241
"59193","1997",569,3.525545
"51204","2000",354,3.789676
"84970","2004",132,4.194235
"55695","1995",769,3.646557
"88732","1979",745,3.704972
"87216","2002",350,3.787472
"72395","1978",249,3.623097
"45222","2004",832,4.144885
"72080","1990",221,4.085294
"1951","1996",952,2.546594
"41751","1992",160,3.388518
"43115","1954",581,4.01843
"62409","1999",761,3.270647
"16855","1990",589,3.136165
"6534","1997",133,3.666294
"4725","1988",621,4.016581
"98776","1999",118,4.030182
"24294","1974",826,3.689805
"37501","1982",191,3.564032
"96064","2001",687,3.347181
"15447","1992",580,3.813993
"51227","1978",249,3.623097
"24827","2004",786,3.680781
"70409","1999",643,3.299711
"47651","2002",877,3.594035
"85911","2000",22,3.130971
"22855","1983",182,3.718461
"37438","2001",251,3.279928
"59343","1999",52,3.359726
"87354","1993",556,3.27668
"31421","1993",130,3.930332
"62622","2003",52,3.970668
"11846","2002",797,2.899578
"26449","2005",710,3.597737
"6248","1984",737,3.358244
"27535","2004",439,3.568672
"73366","1953",751,4.091276
"28144","2003",13,4.723066
"18658","2002",738,3.892671
"66504","1997",982,3.043425
"66621","1992",124,3.410474
"31469","1998",21,3.522611
"10861","2000",402,3.541636
"17511","2001",105,3.25007
"41768","1988",466,4.125148
"75934","2003",484,2.724636
"76106","1994",408,3.543596
"15495","1993",702,2.957929
"85693","1986",617,4.06624
"58598","2004",706,3.679983
"39792","2003",851,3.51149
"80455","2004",918,3.721584
"49101","2000",749,4.203065
"94022","1980",869,4.034575
"91565","1988",976,3.848941
"45486","2004",515,3.103715
"92770","2000",806,3.179099
"37836","2001",632,3.331026
"40897","1999",413,4.483676
"1635","2002",438,2.993749
"64756","2004",80,3.342418
"20185","2001",13,4.716401
"50830","2004",271,3.165957
"32357","2003",759,3.382686
"22954","1988",171,3.429744
"13328","1973",670,4.009728
"2483","1992",749,4.181926
"1442","2002",429,3.850366
"13002","2003",130,3.417129
"62414","2000",610,3.734414
"40033","2005",44,3.723653
"4570","2002",526,3.145374
"43464","1991",382,3.00562
"61067","2000",949,4.087545
"73","2001",159,3.290035
"48010","2004",480,4.010509
"89426","2000",612,3.533859
"92977","1979",414,3.98285
"50736","1989",771,3.320542
"23583","1994",59,3.677814
"7071","1998",393,4.191832
"59393","1985",507,4.117889
"76966","2003",480,4.154146
"22667","1991",589,3.962426
"76188","2002",566,2.724365
"67619","2001",627,3.892619
"43896","1987",784,3.710361
"88020","1999",352,3.428434
"75181","2001",586,3.398229
"37391","2003",604,3.686217
"12712","1989",624,3.582982
"90213","1990",639,3.46053
"71316","2001",362,3.781899
"5029","2004",553,3.367966
"87602","1986",45,3.475173
"18244","1989",197,3.55107
"26032","1994",619,4.195069
"48627","1999",289,3.331738
"96424","1985",246,3.821087
"94072","2002",81,2.858375
"57127","1995",49,3.569158
"65521","1992",496,3.275178
"32676","2002",639,4.362071
"78256","2003",255,3.549393
"4633","1994",151,4.299842
"76142","1986",24,3.827354
"63428","2001",89,4.448375
"21431","2002",356,4.12339
"21247","1998",171,3.121203
"40738","2003",300,3.212007
"31809","1999",790,3.509959
"37113","1996",51,3.804783
"80547","2003",369,2.949338
"17622","1996",358,3.102321
"56657","1993",244,3.977724
"76935","1999",393,3.962955
"467","1980",151,3.556969
"38510","2004",80,3.342418
"41520","2000",616,3.558669
"51900","1999",825,3.289021
"97630","2004",337,3.874524
"8873","1998",368,3.642593
"5126","1971",888,4.073817
"31722","2002",466,3.304382
"81125","1999",611,3.096144
"51837","2001",757,3.634672
"55719","1996",231,3.729131
"14921","2002",797,2.899578
"39990","2004",895,2.988401
"97728","1965",130,4.01297
"82792","1987",704,4.110475
"80992","1950",851,3.885315
"4757","2001",251,3.279928
"64805","1999",943,3.48652
"80432","1955",118,3.89798
"57598","2004",178,3.478505
"99205","2002",645,3.234633
"40502","2003",681,3.546603
"72828","1996",534,3.576958
"45441","2000",655,3.277135
"32279","2002",706,3.673033
"55529","1993",88,4.08285
"87044","2005",554,3.226142
"15862","1995",285,4.082388
"8089","1999",261,3.604833
"69243","1997",153,3.129555
"13667","2005",603,3.42992
"880","2000",233,3.213987
"90436","1991",561,3.70248
"17650","2003",416,3.556303
"27084","2002",218,3.587841
"64861","1990",31,3.653009
"58158","2003",787,2.979341
"27848","1999",919,3.594979
"48795","1987",281,3.843706
"71620","2004",353,2.797786
"22443","2000",467,3.260046
"6483","2003",235,3.074956
"371","1995",93,2.967785
"51482","1999",167,4.318937
"9597","1998",875,3.072846
"23439","2002",344,3.800375
"58616","2004",982,3.56256
"20338","2000",535,3.878465
"8590","1978",465,3.796158
"65779","2002",27,3.823426
"73233","2001",107,3.480235
"87003","1985",238,3.63639
"34268","2004",379,4.309204
"43939","1996",42,3.412418
"268","1995",96,4.352089
"12620","1996",336,3.665636
"80835","1981",305,3.29302
"8778","2002",395,4.123418
"10578","2002",697,3.363678
"1666","1998",674,3.098553
"88370","1995",503,3.566959
"24300","2001",281,3.250772
"59200","1998",953,3.866579
"46763","2001",729,3.406112
"7933","2001",50,3.374692
"2825","1960",326,4.067387
"65249","2003",369,2.949338
"84380","1998",964,3.760764
"34870","1989",214,3.858014
"54975","1998",53,2.878358
"40153","1989",405,3.502228
"92280","1998",299,4.294902
"8536","1985",419,3.318777
"58634","1962",971,3.664444
"38323","1993",133,3.957696
"43065","2004",95,3.688752
"6076","1993",38,3.759085
"44150","1986",81,3.542272
"87829","2000",328,2.99653
"31899","2004",139,3.439549
"24162","1999",531,3.618629
"23981","1987",25,3.338812
"15630","2003",973,2.788839
"98354","1994",151,4.299842
"28431","2004",350,3.751418
"3546","1997",523,2.731433
"82124","1995",350,3.81084
"62831","1988",520,2.999247
"34306","1985",563,3.392009
"75065","2003",779,3.434634
"77546","1944",126,3.516066
"28219","2002",187,4.045155
"89079","1992",384,3.623882
"82752","2003",464,3.322467
"25956","1998",580,3.52642
"86092","1953",82,3.732162
"5783","1998",372,3.569355
"85106","1994",167,4.079366
"55337","1997",882,3.702682
"86904","1993",669,3.264219
"38279","2003",26,4.211198
"11110","2004",350,3.658373
"18777","2003",618,4.248265
"10753","2002",674,3.335156
"24295","2000",166,3.230544
"86709","1985",385,3.484529
"11168","2002",697,3.824967
"61607","2001",353,3.6589
"61253","1995",209,4.294731
