"avg_rating","movie_year","movie_cluster","movie_avgScore"
2.983425,2002,537,3.793
3.29368,2002,344,3.8
2.829787,2002,53,3.019
3.090909,2003,277,3.344
4.387097,2004,434,3.471
3.637014,1985,419,3.415
4.278061,2001,599,3.975
3.25641,2004,279,3.601
3.204301,2004,377,3.374
3.925926,1941,731,4.021
4.085714,1987,580,3.971
3.789744,1957,627,3.779
4.229508,2003,632,3.311
3.785714,2002,706,3.017
4.007018,1991,204,3.547
3.55814,1995,209,4.294
3.358491,2000,409,3.425
3.471376,2004,308,3.992
3.192593,2003,589,3.866
3.915966,2004,358,3.928
3.836461,2005,746,2.225
3.566572,1986,900,3.424
2.931818,1998,540,3.226
3.251095,2000,618,4.299
4.307692,2005,428,3.8
3.935484,2004,992,3.809
3.2,2003,521,3.742
3.163265,2004,152,4.092
3.926829,1995,103,4.135
3.741935,2005,230,3.569
4.464286,2003,422,3.78
3.95082,2003,447,3.537
3.792308,2005,22,3.406
3.45,2004,80,3.388
3.561404,2004,104,3.316
3.084406,1998,21,3.522
3.098485,1949,2,3.802
4.093023,2004,133,2.91
3.673432,1997,285,3.688
4.1875,2005,752,3.572
3.571429,2004,337,3.874
4.171875,2002,567,2.703
3.580645,1999,650,3.497
3.729885,2005,545,3.866
3.857143,2004,555,3.558
3.615385,2005,137,3.668
3.564103,2005,88,3.482
4.02381,2002,563,3.554
4.375,1975,473,3.524
3.337731,2004,608,3.435
3.646154,1960,698,3.94
3.934426,2004,285,3.398
3.625,2004,95,3.689
4.189655,1994,837,3.637
3.297774,1987,840,3.514
3.584,2001,88,3.045
3.833333,2003,29,3.762
3.256477,1994,310,3.859
3.827586,2002,542,3.298
3.42515,2001,553,4.051
3.419214,1942,770,4.09
3.724077,2004,554,3.551
4.625,1990,209,3.905
3.178908,1999,412,3.496
3.661765,2001,148,4.435
3.848485,2003,632,3.311
3.523967,2005,404,3.881
4.714286,2004,480,4.01
4.371212,1977,200,4.504
3.867327,1993,600,3.681
3.6,2005,428,3.8
3.322917,1978,22,3.487
3.624754,1994,69,3.012
3.02439,2004,55,3.614
2.712329,2005,44,3.724
3.612245,1991,52,4.312
2.670103,2003,779,3.435
3.520833,2004,982,3.562
3.72,1982,427,3.846
3.272727,2005,834,3.745
4.192308,2002,350,3.788
3.673611,2004,324,3.467
3.961538,1976,69,3.893
3.761329,2004,618,4.339
3.76,2000,425,3.783
3.906977,2002,178,3.358
3.702929,2004,397,3.589
4.055556,1985,393,3.388
3.357143,1999,790,3.51
3.052632,2004,175,2.85
3.347826,2001,247,3.707
4.241379,2002,500,3.941
3.863636,2000,328,3.345
3.511111,1988,544,4.209
3.566667,2003,644,2.75
3,2005,841,4.306
3.99375,2004,776,4.165
3.015152,2005,718,2.655
2.994845,2004,262,2.943
4.057895,2002,218,3.588
3.575472,1961,130,3.978
3.464668,2002,171,3.299
3.857143,2004,401,3.514
4.035461,2004,178,3.479
3.390476,2005,604,3.677
3.590909,1999,554,3.69
3.316667,2004,386,3.585
2.244681,1951,534,3.885
3.596491,1981,336,4.504
3.127737,2004,567,3.838
3.347222,2003,331,3.44
4.241379,1951,534,3.885
3.535533,1992,376,2.943
3.570946,1996,129,3.774
3.944134,1987,418,3.909
3.618182,2002,448,3.973
4.529781,1953,204,3.999
4.049383,1990,130,3.442
3.666667,2004,457,3.629
3.394737,1999,153,3.122
4.471831,2001,152,3.001
3.104167,2004,262,2.943
4.4,2002,285,3.974
3.561798,1996,613,3.526
4.308901,2004,637,3.271
3.47541,2004,350,3.751
4.022956,2003,447,3.537
4.457143,1997,397,3.352
4,1995,290,3.892
3.599483,2004,353,2.798
3.694444,2005,424,4.237
3.987342,2001,351,3.452
4.384615,2005,404,3.881
4.034091,2004,428,3.716
3.72,2001,241,4.088
4.423529,1992,456,4.408
3.238636,2004,262,2.943
3.602564,2002,702,4.314
4.137931,2005,250,3.558
3.862595,1992,58,4.305
4.333333,1999,434,3.4
3.605948,2003,255,3.549
3.78501,2003,249,3.236
3.876923,1984,196,3.346
4.396226,2004,177,3.941
