"","X","year","name","cluster","avgScore"
"1",1,"2003","Dinosaur Planet",1,3.744444
"2",2,"2004","Isle of Man TT 2004 Review",2,3.538462
"3",3,"1997","Character",3,3.640461
"4",4,"1994","Paula Abdul's Get Up & Dance",4,2.751773
"5",5,"2004","The Rise and Fall of ECW",5,3.912467
"6",6,"1997","Sick",6,3.086957
"7",7,"1992","8 Man",7,2.141304
"8",8,"2004","What the #$*! Do We Know!?",8,3.189292
"9",9,"1991","Class of Nuke 'Em High 2",9,2.638298
"10",10,"2001","Fighter",10,3.177419
"11",11,"1999","Full Frame: Documentary Shorts",11,3.025381
"12",12,"1947","My Favorite Brunette",12,3.424581
"13",13,"2003","Lord of the Rings: The Return of the King: Extended Edition: Bonus Material",13,4.544715
"14",14,"1982","Nature: Antarctica",14,3.025424
"15",15,"1988","Neil Diamond: Greatest Hits Live",15,3.287719
"16",16,"1996","Screamers",16,3.100859
"17",17,"2005","7 Seconds",17,2.901665
"18",18,"1994","Immortal Beloved",18,3.783565
"19",19,"2000","By Dawn's Early Light",19,3.323364
"20",20,"1972","Seeta Aur Geeta",20,3.146552
"21",21,"2002","Strange Relations",21,3.465116
"22",22,"2000","Chump Change",22,2.251256
"23",23,"2001","Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo",23,3.549342
"24",24,"1981","My Bloody Valentine",12,2.990943
"25",25,"1997","Inspector Morse 31: Death Is Now My Neighbour",24,3.970785
"26",26,"2004","Never Die Alone",25,2.791846
"27",27,"1962","Sesame Street: Elmo's World: The Street We Live On",26,3.537313
"28",28,"2002","Lilo and Stitch",27,3.823426
"29",29,"2001","Boycott",28,3.601923
"30",30,"2003","Something's Gotta Give",29,3.761979
"31",31,"1999","Classic Albums: Meat Loaf: Bat Out of Hell",30,3.045872
"32",32,"2004","ABC Primetime: Mel Gibson's The Passion of the Christ",31,4.069831
"33",33,"2000","Aqua Teen Hunger Force: Vol. 1",32,4.167276
"34",34,"2003","Ashtanga Yoga: Beginner's Practice with Nicki Doane",33,2.71028
"35",35,"2000","Ferngully 2: The Magical Rescue",34,3.136145
"36",36,"1992","Lady Chatterley",35,3.016146
"37",37,"1973","Zatoichi's Conspiracy",36,3.992806
"38",38,"2003","Daydream Obsession",37,2.046366
"39",39,"2000","Love Reinvented",38,2.442049
"40",40,"2004","Pitcher and the Pin-Up",39,2.934292
"41",41,"2000","Horror Vision",40,1.630435
"42",42,"2002","Searching for Paradise",41,2.322835
"43",43,"2000","Silent Service",42,2.576923
"44",44,"1996","Spitfire Grill",43,3.6855
"45",45,"1999","The Love Letter",44,2.969016
"46",46,"1964","Rudolph the Red-Nosed Reindeer",45,3.805586
"47",47,"1952","The Bad and the Beautiful",46,3.265034
"48",48,"2001","Justice League",47,3.711874
"49",49,"2003","Devo: The Complete Truth About De-evolution",48,3.668122
"50",50,"1941","A Yank in the R.A.F.",49,3.030675
"51",51,"2002","Jonah: A VeggieTales Movie: Bonus Material",50,3.566667
"52",52,"2002","The Weather Underground",51,3.757546
"53",53,"2003","The Bonesetter",52,1.642857
"54",54,"1952","We're Not Married",53,2.981013
"55",55,"1995","Jade",54,3.019789
"56",56,"2004","Carandiru",55,3.649394
"57",57,"1995","Richard III",56,3.677337
"58",58,"1996","Dragonheart",57,3.612196
"59",59,"2003","Sex and the Beauties",58,2.79703
"60",60,"1969","The Libertine",59,2.153584
"61",61,"1999","Ricky Martin: One Night Only",60,2.951724
"62",62,"1991","Ken Burns' America: Empire of the Air",61,3.625
"63",63,"1943","Crash Dive",62,3.251366
"64",64,"2001","Outside the Law",63,2.43617
"65",65,"2000","Lost in the Pershing Point Hotel",64,2.341176
"66",66,"1989","Barbarian Queen 2",65,2.295181
"67",67,"1997","Vampire Journals",66,2.56446
"68",68,"2004","Invader Zim",67,4.143898
"69",69,"2003","WWE: Armageddon 2003",68,3.298246
"70",70,"1999","Tai Chi: The 24 Forms",69,2.725664
"71",71,"1995","Maya Lin: A Strong Clear Vision",70,3.766602
"72",72,"1974","At Home Among Strangers,A Stranger Among His Own",71,3.135593
"73",73,"1954","Davy Crockett: 50th Anniversary Double Feature",13,3.892183
"74",74,"1999","6ixtynin9",72,3.177546
"75",75,"1997","Grind",73,2.573394
"76",76,"1952","I Love Lucy: Season 2",74,4.089568
"77",77,"1995","Congo",75,2.851811
"78",78,"1996","Jingle All the Way",76,2.941042
"79",79,"1956","The Killing",77,3.76623
"80",80,"1979","Winter Kills",78,2.805861
"81",81,"1991","Antarctica: IMAX",79,3.442029
"82",82,"1951","The Frogmen",80,3.034483
"83",83,"1983","Silkwood",81,3.729273
"84",84,"2002","The Powerpuff Girls Movie",82,3.223198
"85",85,"2005","Elfen Lied",83,4.250951
"86",86,"1996","Iron Monkey 2",84,1.95977
"87",87,"2002","Louder Than Bombs",85,2.810345
"88",88,"1998","Record of Lodoss War: Chronicles of the Heroic Knight",86,3.838311
"89",89,"2000","Chain of Command",87,2.694158
"90",90,"1951","The Lemon Drop Kid",88,3.499197
"91",91,"2005","WWE: Royal Rumble 2005",89,3.890877
"92",92,"2002","ECW: Cyberslam '99",90,3.556962
"93",93,"2004","They Came Back",59,2.703488
"94",94,"2000","G3: Live in Concert",91,3.679412
"95",95,"1985","Dona Herlinda and Her Son",92,2.586652
"96",96,"2000","Inside the Space Station",93,3.362319
"97",97,"2002","Mostly Martha",94,3.871338
"98",98,"1965","The Battle of Algiers: Bonus Material",95,3.915385
"99",99,"1989","A Fishy Story",96,2.403226
"100",100,"1993","Sam the Iron Bridge",97,2.675325
"101",101,"1997","Complete Shamanic Princess",98,3.365325
"102",102,"2004","Notre Musique",99,2.738602
"103",103,"1976","Sanford and Son: Season 6",100,3.658654
"104",104,"1965","The Great Race",101,3.694308
"105",105,"2002","Obsessed",102,3.142857
"106",106,"2004","Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985",103,4.093448
"107",107,"2000","Magnolia: Bonus Material",104,3.351942
"108",108,"2004","Spartan",105,3.16826
"109",109,"1996","No Way Back",53,2.672828
"110",110,"1989","Scandal",106,3.033724
"111",111,"2003","Duplex (Widescreen)",38,3.082665
"112",112,"1993","The Eye of Vichy",107,2.995763
"113",113,"2000","Bruce Lee: A Warrior's Journey",30,3.881455
"114",114,"1989","Dominion Tank Police Part 1 & 2",53,3.370283
"115",115,"1973","Lord Peter Wimsey: Murder Must Advertise",108,3.540091
"116",116,"2004","Bear Cub",109,3.535554
"117",117,"1957","Silk Stockings",110,3.459404
"118",118,"1985","Rambo: First Blood Part II",111,3.432149
"119",119,"1999","Travel the World by Train: Africa",112,2.691489
