"movie_year","movie_cluster","movie_avgScore"
"2003",255,3.549393
"1986",339,3.759592
"1996",420,3.952594
"2002",257,3.463843
"2002",537,2.753731
"1983",435,3.338969
"1998",791,3.188143
"2002",350,3.787472
"1959",274,3.689566
"2002",584,3.029478
"1995",503,3.566959
"1990",130,3.438511
"1997",493,3.817912
"2002",258,3.61773
"2002",563,3.554369
"1948",254,4.007375
"1997",363,3.874878
"1992",423,3.93789
"1995",621,3.666299
"1986",584,3.4375
"1989",82,3.361984
"2002",332,3.781585
"2001",586,3.398229
"2004",337,3.626216
"1998",257,3.639784
"2001",223,3.568607
"1959",141,3.678054
"2000",554,3.3613
"1993",887,3.720569
"1997",167,3.708928
"1997",158,3.611562
"1995",139,3.459674
"1998",477,3.526671
"1993",455,3.901159
"1964",295,4.147655
"2004",152,3.910232
"2003",973,2.788839
"2004",133,3.54105
"2004",746,3.764314
"1981",249,3.273232
"2001",82,3.583893
"1985",44,4.013876
"1985",262,3.442387
"2000",720,3.813252
"2002",415,3.751165
"2004",608,3.435104
"1994",317,4.59329
"2001",148,4.235886
"1995",630,3.039629
"1989",727,2.978241
"2000",722,3.489933
"1996",107,3.770553
"2003",753,3.423639
"2002",279,3.301417
"1994",626,3.596343
"1960",627,3.435773
"1995",693,3.401419
"1985",507,4.117889
"2004",786,3.680781
"2001",601,3.913912
"2001",166,3.106433
"2002",935,3.538392
"2005",404,3.881081
"1990",491,3.649216
"1996",28,2.790073
"1999",332,3.246246
"1978",352,3.802206
"1988",194,3.404414
"1932",167,3.195568
"1939",601,4.170713
"2005",603,3.42992
"1989",793,3.189125
"1998",248,3.806712
"2004",408,3.90588
"1995",301,3.475955
"2001",59,3.588055
"2004",92,4.190134
"2004",239,3.036021
"2005",368,2.982475
"2002",645,3.234633
"2003",389,3.519844
"1998",53,3.531605
"1999",10,2.972481
"1968",195,3.664492
"1998",315,3.240763
"1999",393,3.962955
"1960",300,3.8939
"1993",554,3.424851
"1992",648,3.282152
"2001",603,3.323728
"2004",132,4.194235
"2003",63,2.947022
"2000",441,3.910989
"2003",9,3.551792
"2004",377,3.373453
"2003",318,3.755254
"2004",574,3.369578
"1992",160,4.003484
"1992",599,3.733984
"1996",400,3.723231
"2001",88,3.044677
"1967",126,3.547145
"2001",863,3.924927
"2003",29,3.761979
"2001",586,3.398229
"2001",88,3.127862
"2003",378,3.30024
"2002",59,3.767005
"2002",36,3.012048
"1993",111,4.066515
"2002",269,3.082416
"1972",573,3.907108
"1945",92,3.577044
"2002",697,3.363678
"2003",22,2.892515
"1939",376,4.131114
"2002",350,3.787472
"2002",546,3.590833
"2003",576,3.371868
"2003",418,3.535834
"2003",572,3.316761
"1990",993,3.774413
"1992",160,4.003484
"1990",915,3.56878
"1992",287,3.571182
"1984",378,3.839199
"1991",667,3.330071
"1967",973,3.954721
"1977",200,4.504505
"2002",178,3.357929
"1996",452,2.768768
"1999",186,3.962459
"1975",473,3.524225
"1993",107,3.904904
"2000",827,3.692869
"1991",612,3.301697
"1979",745,3.704972
"1992",86,3.769887
"1979",689,3.627578
"1998",606,3.461237
"2003",172,3.931896
"1996",308,4.025123
"1989",484,4.333289
"2000",749,4.203065
"2002",736,3.291538
"1987",354,3.569392
"2001",59,3.588055
"2004",133,3.54105
"2001",417,3.183512
"2000",251,3.766328
"2003",493,3.072143
"1994",791,4.094501
"1991",370,3.738979
"2002",76,4.005862
"2003",249,3.73486
"1997",299,3.3306
"2003",17,3.704385
"2004",832,4.144885
"2000",94,4.175796
"2000",409,3.425384
"1994",151,4.299842
"2004",498,3.633877
"2001",603,4.283961
"1989",464,4.062365
"2005",72,3.579609
"1992",676,3.053253
"1981",333,3.858598
"2004",982,3.56256
"1996",197,3.72172
"2001",318,3.294685
"1991",96,3.501503
"1999",132,3.70117
"1985",91,3.357764
"1978",563,4.061363
