"","Gay...Lesbian","Science.Fiction...Fantasy","Mystery...Suspense","Romance","Kids...Family","Animation","Comedy","Faith...Spirituality","Horror","Adult","Western","Cult.Movies","Television","Anime...Manga","Sports...Fitness","Drama","Classics","Documentary","Action...Adventure","Art.House...International","Special.Interest","Musical...Performing.Arts","userAvgScore","movie_year","movie_cluster","movie_avgScore"
"1994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.341246,"1989",722,3.473923
"73091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.684848,"1995",586,3.496622
"20459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3.277262,"1985",507,4.117889
"80422",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.636995,"2000",409,3.512847
"6522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.013158,"2004",243,1.579151
"7355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3.514925,"2003",65,3.137039
"92860",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.769481,"1991",353,3.73651
"63853",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.404255,"2003",429,3.150935
"78119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3.190909,"2003",494,2.902498
"64324",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3.295775,"1990",414,3.259171
"67960",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.954674,"2004",350,3.751418
"9072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.311888,"2005",307,3.442051
"17301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.535109,"1996",328,3.525801
"21943",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.024096,"1998",452,3.526743
"31299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.615625,"1993",283,3.59177
"8302",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3.603581,"1999",52,4.325446
"14816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3.483483,"2002",221,3.146909
"49992",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.137441,"2003",517,3.582143
"59123",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3.042194,"1973",263,3.862624
"63540",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.4,"2004",428,3.716396
"98696",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.945161,"1939",251,3.850863
"43368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.816961,"2000",52,3.507999
