"","x"
"1",4
"2",5
"3",4
"4",3
"5",1
"6",4
"7",5
"8",5
"9",3
"10",2
"11",4
"12",4
"13",4
"14",3
"15",3
"16",5
"17",2
"18",2
"19",3
"20",3
"21",3
"22",3
"23",4
"24",5
"25",5
"26",3
"27",3
"28",5
"29",3
"30",1
"31",5
"32",5
"33",3
"34",4
"35",5
"36",4
"37",3
"38",5
"39",4
"40",4
"41",4
"42",3
"43",4
"44",4
"45",4
"46",4
"47",5
"48",2
"49",4
"50",5
"51",5
"52",4
"53",3
"54",4
"55",4
"56",5
"57",4
"58",5
"59",5
"60",1
"61",4
"62",5
"63",4
"64",2
"65",4
"66",5
"67",3
"68",2
"69",3
"70",4
"71",2
"72",3
"73",5
"74",4
"75",3
"76",5
"77",1
"78",4
"79",1
"80",2
"81",4
"82",1
"83",1
"84",4
"85",5
"86",3
"87",4
"88",1
"89",5
"90",3
"91",2
"92",4
"93",3
"94",4
"95",3
"96",3
"97",4
"98",3
"99",4
"100",5
"101",1
"102",4
"103",3
"104",2
"105",5
"106",4
"107",3
"108",5
"109",4
"110",4
"111",3
"112",4
"113",2
"114",4
"115",3
"116",3
"117",5
"118",3
"119",5
"120",4
"121",5
"122",5
"123",2
"124",5
"125",4
"126",4
"127",3
"128",5
"129",3
"130",3
"131",4
"132",4
"133",5
"134",4
"135",3
"136",5
"137",5
"138",4
"139",5
"140",4
"141",3
"142",3
"143",4
"144",3
"145",5
"146",4
"147",4
"148",3
"149",5
"150",4
"151",3
"152",3
"153",3
"154",4
"155",5
"156",1
"157",3
"158",4
"159",4
"160",5
"161",4
"162",4
"163",4
"164",3
"165",3
"166",5
"167",3
"168",4
"169",3
"170",3
"171",5
"172",2
"173",4
"174",3
"175",3
"176",4
"177",5
"178",3
"179",3
"180",5
"181",3
"182",3
"183",4
"184",5
"185",3
"186",4
"187",3
"188",3
"189",3
"190",4
"191",4
"192",5
"193",4
"194",4
"195",5
"196",3
"197",4
"198",5
"199",3
"200",3
"201",5
"202",4
"203",4
"204",4
"205",1
"206",4
"207",3
"208",4
"209",1
"210",3
"211",3
"212",3
"213",5
"214",3
"215",4
"216",3
"217",4
"218",4
"219",4
"220",2
"221",4
"222",3
"223",5
"224",5
"225",5
"226",5
"227",3
"228",5
"229",5
"230",5
"231",4
"232",5
"233",5
"234",3
"235",5
"236",5
"237",5
"238",3
"239",4
"240",4
"241",3
"242",2
"243",1
"244",5
"245",5
"246",4
"247",4
"248",5
"249",5
"250",3
"251",3
"252",1
"253",3
"254",4
"255",2
"256",5
"257",1
"258",4
"259",4
"260",4
"261",1
"262",5
"263",1
"264",4
"265",4
"266",2
"267",4
"268",3
"269",4
"270",2
"271",3
"272",4
"273",2
"274",3
"275",3
"276",1
"277",3
"278",3
"279",4
"280",3
"281",4
"282",3
"283",5
"284",4
"285",3
"286",2
"287",4
"288",5
"289",4
"290",5
"291",5
"292",3
"293",4
"294",3
"295",5
"296",5
"297",5
"298",1
"299",3
"300",3
"301",5
"302",5
"303",4
"304",3
"305",5
"306",3
"307",4
"308",2
"309",4
"310",5
"311",5
"312",4
"313",5
"314",4
"315",4
"316",4
"317",3
"318",4
"319",3
"320",3
"321",4
"322",5
"323",5
"324",3
"325",1
"326",4
"327",2
"328",4
"329",2
"330",1
"331",3
"332",5
"333",3
"334",4
"335",3
"336",4
"337",3
"338",3
"339",3
"340",4
"341",2
"342",5
"343",4
"344",3
"345",2
"346",4
"347",5
"348",3
"349",3
"350",5
"351",3
"352",4
"353",3
"354",1
"355",3
"356",4
"357",3
"358",5
"359",4
"360",4
"361",5
"362",2
"363",5
"364",4
"365",4
"366",4
"367",4
"368",3
"369",4
"370",3
"371",5
"372",3
"373",3
"374",3
"375",3
"376",5
"377",2
"378",5
"379",5
"380",3
"381",3
"382",2
"383",5
"384",4
"385",5
"386",3
"387",3
"388",4
"389",2
"390",4
"391",4
"392",4
"393",5
"394",2
"395",3
"396",4
"397",4
"398",5
"399",1
"400",5
"401",5
"402",3
"403",4
"404",3
"405",5
"406",5
"407",5
"408",4
"409",4
"410",4
"411",5
"412",2
"413",3
"414",4
"415",5
"416",3
"417",3
"418",1
"419",3
"420",3
"421",1
"422",5
"423",4
"424",4
"425",2
"426",4
"427",3
"428",3
"429",3
"430",4
"431",5
"432",5
"433",5
"434",4
"435",2
"436",1
"437",5
"438",5
"439",3
"440",3
"441",5
"442",3
"443",4
"444",5
"445",5
"446",5
"447",3
"448",4
"449",4
"450",1
"451",3
"452",1
"453",3
"454",4
"455",4
"456",5
"457",5
"458",4
"459",3
"460",5
"461",3
"462",1
"463",2
"464",4
"465",3
"466",3
"467",5
"468",4
"469",3
"470",5
"471",4
"472",3
"473",3
"474",3
"475",3
"476",4
"477",1
"478",3
"479",3
"480",1
"481",3
"482",4
"483",5
"484",2
"485",5
"486",3
"487",3
"488",4
"489",4
"490",2
"491",4
"492",2
"493",3
"494",5
"495",1
"496",3
"497",2
"498",2
"499",3
"500",4
"501",4
"502",4
"503",4
"504",3
"505",3
"506",4
"507",3
"508",4
"509",4
"510",5
"511",2
"512",3
"513",4
"514",2
"515",3
"516",3
"517",5
"518",4
"519",3
"520",4
"521",3
"522",3
"523",5
"524",4
"525",2
"526",4
"527",2
"528",5
"529",4
"530",5
"531",4
"532",5
"533",5
"534",3
"535",3
"536",4
"537",5
"538",4
"539",4
"540",3
"541",4
"542",3
"543",4
"544",5
"545",4
"546",1
"547",3
"548",4
"549",4
"550",5
"551",4
"552",4
"553",5
"554",3
"555",5
"556",2
"557",5
"558",2
"559",4
"560",3
"561",4
"562",2
"563",3
"564",5
"565",4
"566",4
"567",4
"568",4
"569",3
"570",4
"571",4
"572",5
"573",2
"574",5
"575",4
"576",3
"577",5
"578",5
"579",4
"580",4
"581",5
"582",3
"583",5
"584",5
"585",4
"586",3
"587",2
"588",2
"589",4
"590",4
"591",5
"592",2
"593",4
"594",5
"595",5
"596",4
"597",3
"598",5
"599",5
"600",4
"601",5
"602",4
"603",4
"604",5
"605",4
"606",1
"607",5
"608",3
"609",3
"610",1
"611",4
"612",3
"613",3
"614",5
"615",3
"616",2
"617",4
"618",5
"619",3
"620",3
"621",3
"622",4
"623",5
"624",3
"625",1
